codDepto,codMun,ADM1_ES,ADM2_ES,T_TL,lon,lat
1,8,Atlantida,Arizona,26389,-87.374714303442,15.6147392471678
1,2,Atlantida,El Porvenir,29146,-86.9596633910159,15.6675085189684
1,3,Atlantida,Esparta,21041,-87.2644593774685,15.6615352832788
1,4,Atlantida,Jutiapa,39848,-86.5333104156103,15.6812881508655
1,1,Atlantida,La Ceiba,236218,-86.7715887155238,15.6737071486564
1,5,Atlantida,La Masica,33943,-87.1698463662745,15.569715780585
1,6,Atlantida,San Francisco,17403,-87.0620225974525,15.6512956259374
1,7,Atlantida,Tela,111633,-87.5982570348897,15.7046453588897
6,2,Choluteca,Apacilagua,9129,-87.0217483600046,13.44784052925
6,1,Choluteca,Choluteca,176963,-87.2310064012739,13.2557268214926
6,3,Choluteca,Concepcion de Maria,29182,-86.9646322725996,13.2139091075501
6,4,Choluteca,Duyure,3652,-86.8087917018104,13.6280930031876
6,5,Choluteca,El Corpus,27364,-87.0130303297047,13.2965337817672
6,6,Choluteca,El Triunfo,51921,-87.0252831530417,13.0795812722886
6,7,Choluteca,Marcovia,50134,-87.376417766419,13.2548092864237
6,8,Choluteca,Morolica,5043,-86.9057148313259,13.5573368478382
6,9,Choluteca,Namasigue,36565,-87.1307392091259,13.1551139497868
6,10,Choluteca,Orocuina,19362,-87.1409591038468,13.4937075719057
6,11,Choluteca,Pespire,24239,-87.3181585049555,13.5757483159276
6,12,Choluteca,San Antonio de Flores,5504,-87.3398951829042,13.6474578877447
6,13,Choluteca,San Isidro,3987,-87.2621288555761,13.6432994084134
6,14,Choluteca,San Jose,5297,-87.4262218262224,13.7197451974136
6,15,Choluteca,San Marcos de Colon,32909,-86.8246601004909,13.4018808042532
6,16,Choluteca,Santa Ana de Yusguare,15642,-87.092155475876,13.3023821294647
2,2,Colon,Balfate,13619,-86.3221954330785,15.7563308937394
2,10,Colon,Bonito Oriental,30908,-85.7348307504382,15.7047396881697
2,3,Colon,Iriona,23428,-85.2293819409848,15.5612901234596
2,4,Colon,Limon,17284,-85.5100553922246,15.7918152537594
2,5,Colon,Saba,34264,-86.1645243411608,15.4808969283126
2,6,Colon,Santa Fe,5265,-86.1102759420322,15.8503714641264
2,7,Colon,Santa Rosa de Aguan,5785,-85.6837438658979,15.9001882818391
2,8,Colon,Sonaguera,48601,-86.2629129831042,15.6332843954642
2,9,Colon,Tocoa,114204,-85.9599597273789,15.5828272156581
2,1,Colon,Trujillo,72199,-85.9384988195956,15.8261721987641
3,2,Comayagua,Ajuterique,12223,-87.7241326270132,14.386593019313
3,1,Comayagua,Comayagua,188999,-87.6306051128873,14.4595101983054
3,3,Comayagua,El Rosario,36087,-87.737692109646,14.5981886229058
3,4,Comayagua,Esquias,23244,-87.4240540963191,14.6540995892611
3,5,Comayagua,Humuya,1540,-87.7085010201479,14.214766200425
3,6,Comayagua,La Libertad,32833,-87.6073927898618,14.8755230375805
3,8,Comayagua,La Trinidad,5152,-87.6781471144979,14.7015722067185
3,7,Comayagua,Lamani,7785,-87.636183269142,14.1514308148975
3,20,Comayagua,Las Lajas,17119,-87.6386629898104,14.8662384149572
3,9,Comayagua,Lejamani,6274,-87.69781454334,14.3593368249817
3,10,Comayagua,Meambar,14621,-87.7797092389906,14.826566580537
3,11,Comayagua,Minas de Oro,14223,-87.4672837830324,14.8768492661429
3,12,Comayagua,Ojos de Agua,11766,-87.665441007912,14.7743880495283
3,13,Comayagua,San Jerónimo,25092,-87.5677645247007,14.629922341471
3,14,Comayagua,San Jose de Comayagua,8100,-88.032430358677,14.690103312379
3,15,Comayagua,San Jose del Potrero,7858,-87.3239709925565,14.8488160060264
3,16,Comayagua,San Luis,12821,-87.471973983169,14.7553751655945
3,17,Comayagua,San Sebastian,3697,-87.720846737705,14.210930506951
3,18,Comayagua,Siguatepeque,119954,-87.8706472959966,14.6294521330639
3,21,Comayagua,Taulabe,26647,-87.9465625764971,14.7252399517973
3,19,Comayagua,Villa de San Antonio,28283,-87.5381096661408,14.2928227865446
4,2,Copan,Cabana,17679,-89.0675566677081,14.7647591702131
4,3,Copan,Concepción,10079,-88.8808139608465,14.8578844801833
4,4,Copan,Copan Ruinas,46043,-89.1308872498429,14.9235736390906
4,5,Copan,Corquin,20807,-88.8459080847759,14.5476629275724
4,6,Copan,Cucuyagua,19779,-88.8381028599381,14.674982868339
4,7,Copan,Dolores,7780,-88.8393751474849,14.8948108045317
4,8,Copan,Dulce Nombre,7404,-88.8350123194717,14.8540358492652
4,9,Copan,El Paraiso,20432,-88.9847087443076,15.0481718115684
4,10,Copan,Florida,31114,-88.8151841744705,15.1599710964411
4,11,Copan,La Jigua,10299,-88.7602400431681,15.1000717965541
4,12,Copan,La Union,17543,-88.9405449127771,14.6875313360203
4,13,Copan,Nueva Arcadia,48594,-88.6999606928999,15.0768561851853
4,14,Copan,San Agustin,6389,-88.9267433113111,14.8133188982823
4,15,Copan,San Antonio,11082,-88.8843603476048,15.0428854770168
4,16,Copan,San Jeronimo,5239,-88.8958397156182,14.9491542619104
4,17,Copan,San Jose,7732,-88.7057531309324,14.8959072998502
4,18,Copan,San Juan de Opoa,9998,-88.7012006036541,14.796405141682
4,19,Copan,San Nicolas,9088,-88.7368057359831,14.9849661003864
4,20,Copan,San Pedro,8129,-88.800208171671,14.6026233977568
4,21,Copan,Santa Rita,33939,-89.0263523560877,14.8761402558083
4,1,Copan,Santa Rosa de Copan,76165,-88.768862932047,14.7776953675515
4,22,Copan,Trinidad de Copan,7924,-88.7690377600052,14.9339582871595
4,23,Copan,Veracruz,3773,-88.782492230204,14.8706321008278
5,2,Cortes,Choloma,304248,-87.9339966623196,15.6413294264
5,12,Cortes,La Lima,91745,-87.8671438114832,15.4818129481515
5,3,Cortes,Omoa,59720,-88.1753463693128,15.6657485492563
5,4,Cortes,Pimienta,24315,-87.9705712544098,15.262506793494
5,5,Cortes,Potrerillos,27281,-87.9550890066498,15.1835628281637
5,6,Cortes,Puerto Cortes,144391,-87.8519396666922,15.7893983674707
5,7,Cortes,San Antonio de Cortes,23493,-88.0205677643,15.1217569345088
5,8,Cortes,San Francisco de Yojoa,26476,-87.9826142979859,15.0120863764644
5,9,Cortes,San Manuel,79541,-87.9014046955027,15.3677266184985
5,1,Cortes,San Pedro Sula,845588,-88.1182766384984,15.509244791799
5,10,Cortes,Santa Cruz de Yojoa,99625,-87.8804687313139,14.9890986797588
5,11,Cortes,Villanueva,194281,-88.0470587746177,15.3194971675767
7,2,El Paraiso,Alauca,9922,-86.6962694634214,13.8298812127946
7,3,El Paraiso,Danli,237693,-86.3788324726345,14.0962471574101
7,4,El Paraiso,El Paraiso,47808,-86.5162758533978,13.8431602624027
7,5,El Paraiso,Guinope,10249,-86.9478213333772,13.8610319018628
7,6,El Paraiso,Jacaleapa,4647,-86.6945909899097,14.0354233616316
7,7,El Paraiso,Liure,11075,-87.0589102188647,13.5474574263226
7,8,El Paraiso,Moroceli,19930,-86.8626253568328,14.1376364401849
7,9,El Paraiso,Oropoli,6306,-86.8386050889241,13.81090895255
7,10,El Paraiso,Potrerillos,5467,-86.7655069405959,14.0419098953583
7,11,El Paraiso,San Antonio de Flores,6117,-86.8418005372894,13.7093016021212
7,12,El Paraiso,San Lucas,8774,-86.9542483792498,13.7405440220847
7,13,El Paraiso,San Matias,5802,-86.6580290671686,13.9483419799631
7,14,El Paraiso,Soledad,9366,-87.1470578962943,13.6085825789797
7,15,El Paraiso,Teupasenti,52451,-86.6915119638874,14.2843271405315
7,16,El Paraiso,Texiguat,8935,-87.038852771013,13.6620862769672
7,19,El Paraiso,Trojes,57881,-85.8548320778676,14.0600802694792
7,17,El Paraiso,Vado Ancho,4181,-86.9524177539979,13.6336154322508
7,18,El Paraiso,Yauyupe,1506,-87.0869581307455,13.7478300167613
7,1,El Paraiso,Yuscaran,17438,-86.8327503318964,13.9462205060936
8,2,Francisco Morazan,Alubaren,5664,-87.4774247480019,13.7873122425639
8,3,Francisco Morazan,Cedros,30013,-87.2130040444594,14.5104869310225
8,4,Francisco Morazan,Curaren,22047,-87.5737589840946,13.8272333218765
8,1,Francisco Morazan,Distrito Central,1342325,-87.2596020598258,14.1690297429769
8,5,Francisco Morazan,El Porvenir,34361,-87.2420576747416,14.6998885040707
8,6,Francisco Morazan,Guaimaca,33470,-86.8815636595654,14.5033253848788
8,7,Francisco Morazan,La Libertad,3154,-87.5033217129627,13.7077226212359
8,8,Francisco Morazan,La Venta,6980,-87.331704354805,13.7251416131469
8,9,Francisco Morazan,Lepaterique,25808,-87.5045855670958,14.0423934077659
8,10,Francisco Morazan,Maraita,7381,-87.0605879660992,13.8608884025724
8,11,Francisco Morazan,Marale,9326,-87.1074931908742,14.9277412726306
8,12,Francisco Morazan,Nueva Armenia,4647,-87.1657675092916,13.7431829584794
8,13,Francisco Morazan,Ojojona,12081,-87.3441194489854,13.9267749761603
8,14,Francisco Morazan,Orica,16154,-86.9594006709208,14.7608452819382
8,15,Francisco Morazan,Reitoca,10972,-87.4346557758706,13.8516022177906
8,16,Francisco Morazan,Sabanagrande,24300,-87.2647761800303,13.7928078454509
8,17,Francisco Morazan,San Antonio de Oriente,16685,-86.9968081581863,14.0252853731428
8,18,Francisco Morazan,San Buenaventura,3541,-87.190621599278,13.8908237244586
8,19,Francisco Morazan,San Ignacio,9714,-87.0753591988957,14.7337872966844
8,20,Francisco Morazan,San Juan de Flores,19922,-86.9805352562191,14.2902849644305
8,21,Francisco Morazan,San Miguelito,2089,-87.495260827859,13.7487244804479
8,22,Francisco Morazan,Santa Ana,18557,-87.2267135320766,13.9216287998984
8,23,Francisco Morazan,Santa Lucia,19294,-87.103042597698,14.1198312063792
8,24,Francisco Morazan,Talanga,39845,-87.0800995903517,14.399435287798
8,25,Francisco Morazan,Tatumbla,9759,-87.0758941566786,13.9770516952908
8,26,Francisco Morazan,Valle de Angeles,23153,-87.0227477769036,14.141989840801
8,28,Francisco Morazan,Vallecillo,9616,-87.3986201668518,14.5144544361653
8,27,Francisco Morazan,Villa de San Francisco,12308,-86.9610124391909,14.1840682853681
9,3,Gracias a Dios,Ahuas,9815,-84.3089166411082,15.4603967798193
9,2,Gracias a Dios,Brus Laguna,16087,-84.7071297266819,15.476783594369
9,4,Gracias a Dios,Juan Francisco  Bulnes,6546,-84.9237662284333,15.7536066813006
9,1,Gracias a Dios,Puerto Lempira,63040,-84.0938458404287,15.0360458766396
9,5,Gracias a Dios,Ramón Villeda Morales,10538,-83.4013481290032,15.0809565733128
9,6,Gracias a Dios,Wampusirpi,6296,-84.6782287001571,15.0465622190715
10,2,Intibuca,Camasca,7373,-88.3854988956073,13.9857241072889
10,3,Intibuca,Colomoncagua,19465,-88.27495372214,13.9631432000342
10,4,Intibuca,Concepcion,11946,-88.3195996901383,14.0356716143114
10,5,Intibuca,Dolores,6256,-88.3526760976259,14.2473107729118
10,6,Intibuca,Intibuca,71477,-88.1482398364116,14.4191152955041
10,7,Intibuca,Jesus de Otoro,34601,-88.0149776342867,14.5131346285935
10,1,Intibuca,La Esperanza,16741,-88.1300162581247,14.2378211258678
10,8,Intibuca,Magdalena,4744,-88.3714941119909,13.9211017232382
10,9,Intibuca,Masaguara,18325,-87.9662735594375,14.3734676890829
10,10,Intibuca,San Antonio,5986,-88.4645320095763,13.9294085399274
10,17,Intibuca,San Francisco de Opalaca,14560,-88.2778869100281,14.5246671283786
10,11,Intibuca,San Isidro,5619,-88.1160789759692,14.5513422727281
10,12,Intibuca,San Juan,16207,-88.4185418005747,14.4048787139046
10,13,Intibuca,San Marcos de Sierra,10414,-88.2444941066337,14.120957621306
10,14,Intibuca,San Miguelito,9955,-88.340562236367,14.3426493973985
10,15,Intibuca,Santa Lucia,5806,-88.4196738953094,13.9027686134761
10,16,Intibuca,Yamaranguila,24396,-88.2437955970105,14.2508128650891
11,2,Islas de La Bahia,Guanaja,6351,-85.8836809568622,16.4683266188559
11,3,Islas de La Bahia,Jose Santos Guardiola,12860,-86.3053393254123,16.4122324988674
11,1,Islas de La Bahia,Roatan,57800,-86.4953826826971,16.3304084677566
11,4,Islas de La Bahia,Utila,5363,-86.9320851032376,16.0978914734753
12,2,La Paz,Aguanqueterique,5225,-87.6507433566052,13.9721943770154
12,3,La Paz,Cabanas,4218,-88.0137165324982,13.9796030308425
12,4,La Paz,Cane,5264,-87.6867896287461,14.2725732535006
12,5,La Paz,Chinacla,9258,-87.9541465808079,14.1718774478132
12,6,La Paz,Guajiquiro,16543,-87.785480730773,14.0686780933111
12,1,La Paz,La Paz,56978,-87.7548869040727,14.299391217605
12,7,La Paz,Lauterique,3222,-87.6613213301077,13.8523438121836
12,8,La Paz,Marcala,35600,-88.0331700493319,14.1307898521292
12,9,La Paz,Mercedes de Oriente,1236,-87.7772920274418,13.9090855761701
12,10,La Paz,Opatoro,8427,-87.8702588889653,14.016725332159
12,11,La Paz,San Antonio del Norte,3099,-87.7178443137891,13.8842456888442
12,12,La Paz,San Jose,9363,-87.9533242722052,14.2222848931145
12,13,La Paz,San Juan,2790,-87.7344148234218,13.9437547050119
12,14,La Paz,San Pedro de Tutule,8444,-87.8461446013947,14.2360972950989
12,15,La Paz,Santa Ana,13769,-87.9439189133133,13.9797876419083
12,16,La Paz,Santa Elena,14571,-88.1580231768103,14.0464109310267
12,17,La Paz,Santa Maria,12548,-87.9108410515611,14.2575000563158
12,18,La Paz,Santiago de Puringla,18185,-87.8746263474284,14.3456591395607
12,19,La Paz,Yarula,10565,-88.0955234176363,14.0960536558478
13,2,Lempira,Belen,9556,-88.4254118885658,14.5086729119418
13,3,Lempira,Candelaria,7110,-88.5557306817977,14.0442839008572
13,4,Lempira,Cololaca,12095,-88.8783334075944,14.3005342337419
13,5,Lempira,Erandique,17210,-88.4538027712013,14.2265609826995
13,1,Lempira,Gracias,62862,-88.6122436665157,14.5933172375163
13,6,Lempira,Gualcince,12641,-88.5662945972383,14.1142460218795
13,7,Lempira,Guarita,9158,-88.8371372249129,14.194778065105
13,8,Lempira,La Campa,9201,-88.5555855278833,14.4534682946645
13,9,Lempira,La Iguala,33371,-88.4479110117209,14.6420754522208
13,11,Lempira,La Union,16189,-88.4159821719378,14.7901121729455
13,12,Lempira,La Virtud,6750,-88.6837078334499,14.0645093849117
13,10,Lempira,Las Flores,11296,-88.6643777227697,14.6584084620227
13,13,Lempira,Lepaera,42710,-88.5873581873814,14.8091003052313
13,14,Lempira,Mapulaca,4472,-88.6194732433787,14.0392178043608
13,15,Lempira,Piraera,15639,-88.4609814460797,14.0431265274288
13,16,Lempira,San Andres,15510,-88.6101912346223,14.2176294995191
13,17,Lempira,San Francisco,9555,-88.3652538528469,14.1199408142292
13,18,Lempira,San Juan Guarita,2859,-88.7795670134822,14.1334121237493
13,19,Lempira,San Manuel Colohete,16978,-88.6654833273022,14.4363189125024
13,28,Lempira,San Marcos de Caiquin,6991,-88.5999882371321,14.371613251702
13,20,Lempira,San Rafael,15216,-88.3728822024446,14.6929088460634
13,21,Lempira,San Sebastian,12742,-88.7296227182159,14.3299380407188
13,22,Lempira,Santa Cruz,8650,-88.533072372028,14.3338043530594
13,23,Lempira,Talgua,12154,-88.7279607096831,14.6699516431375
13,24,Lempira,Tambla,3847,-88.7573607021162,14.2110131706864
13,25,Lempira,Tomala,7145,-88.7334588085144,14.2342336029327
13,26,Lempira,Valladolid,4018,-88.7108368343419,14.1356064462541
13,27,Lempira,Virginia,2750,-88.5614115914113,14.0013377294559
14,2,Ocotepeque,Belen Gualcho,18587,-88.779287230285,14.4707715595626
14,3,Ocotepeque,Concepcion,6122,-89.1998049982281,14.5177749516814
14,4,Ocotepeque,Dolores Merendon,5444,-89.1283500167618,14.5438212954135
14,5,Ocotepeque,Fraternidad,9059,-89.0672885444237,14.5720745038428
14,6,Ocotepeque,La Encarnacion,6036,-89.0428883344065,14.6504427392409
14,7,Ocotepeque,La Labor,11451,-89.0308011643103,14.4813447034641
14,8,Ocotepeque,Lucerna,6632,-88.9781688951295,14.5776719656884
14,9,Ocotepeque,Mercedes,7936,-89.0036923239144,14.3020204136982
14,1,Ocotepeque,Ocotepeque,27900,-89.2164307326477,14.4027601827222
14,10,Ocotepeque,San Fernando,7546,-89.0817632979023,14.6811405307904
14,11,Ocotepeque,San Francisco del Valle,10723,-88.9889520582914,14.4124364068408
14,12,Ocotepeque,San Jorge,5884,-89.1214057739232,14.6183029059634
14,13,Ocotepeque,San Marcos,24135,-88.9227019140539,14.3790396817686
14,14,Ocotepeque,Santa Fe,5777,-89.2834166415984,14.4810522873788
14,15,Ocotepeque,Sensenti,12547,-88.9247486396008,14.4893345946554
14,16,Ocotepeque,Sinuapa,11356,-89.116182858438,14.4360139634533
15,2,Olancho,Campamento,25832,-86.6548168333538,14.4810979924164
15,3,Olancho,Catacamas,142721,-85.5551857799918,14.5813965821427
15,4,Olancho,Concordia,9042,-86.7263659633985,14.6375625356585
15,5,Olancho,Dulce Nombre de Culmi,32778,-85.2955179714126,15.0528273389059
15,6,Olancho,El Rosario,4360,-86.7138996064034,14.8845802113524
15,7,Olancho,Esquipulas del Norte,14203,-86.5740192497611,15.2735499523129
15,8,Olancho,Gualaco,24032,-86.0765961867006,15.1924243448787
15,9,Olancho,Guarizama,8293,-86.2970586824821,14.8951208801575
15,10,Olancho,Guata,13310,-86.3834374492868,15.1549167569633
15,11,Olancho,Guayape,14068,-86.8486904816948,14.7898303950753
15,12,Olancho,Jano,6115,-86.5428509949972,15.0662009204501
15,1,Olancho,Juticalpa,152697,-86.3252432943878,14.5401342581564
15,13,Olancho,La Union,8682,-86.6991565883077,15.0751017961435
15,14,Olancho,Mangulile,9505,-86.8565778558349,15.1170334234205
15,15,Olancho,Manto,11980,-86.4135504457304,14.8660779022899
15,23,Olancho,Patuca,29027,-85.9682611524154,14.3172465601433
15,16,Olancho,Salama,8421,-86.6529091169168,14.8122206516006
15,17,Olancho,San Esteban,28553,-85.7145305533952,15.3054548096176
15,18,Olancho,San Francisco de Becerra,11976,-86.0401607258753,14.6084623267478
15,19,Olancho,San Francisco de La Paz,21862,-86.1327955951909,14.8382912565538
15,20,Olancho,Santa Maria del Real,11128,-85.9596247750501,14.8114168264314
15,21,Olancho,Silca,8390,-86.5479713063767,14.7499490330375
15,22,Olancho,Yocon,13832,-86.8328025798553,14.9487494099681
16,2,Santa Barbara,Arada,11972,-88.333462347068,14.8363725552166
16,3,Santa Barbara,Atima,21752,-88.487636991733,14.8986973564122
16,4,Santa Barbara,Azacualpa,26609,-88.5775307163277,15.3542817168489
16,5,Santa Barbara,Ceguaca,6067,-88.1945789013645,14.8039181230158
16,8,Santa Barbara,Chinda,5330,-88.1565240413231,15.110873106264
16,6,Santa Barbara,Concepcion del Norte,10033,-88.139162458997,15.1801325829409
16,7,Santa Barbara,Concepcion del Sur,5477,-88.1415706872505,14.8036038647719
16,9,Santa Barbara,El Nispero,9917,-88.3273010847308,14.7582717656362
16,10,Santa Barbara,Gualala,5749,-88.1756263414232,14.9834057601867
16,11,Santa Barbara,Ilama,9298,-88.1168385044265,15.0339387632338
16,27,Santa Barbara,Las Vegas,28184,-88.0533227989989,14.851556788486
16,12,Santa Barbara,Macuelizo,40229,-88.5719117084874,15.2141736770573
16,13,Santa Barbara,Naranjito,13960,-88.6160660113847,14.9549663182783
16,28,Santa Barbara,Nueva Frontera,14217,-88.6691404538892,15.2614525969664
16,14,Santa Barbara,Nuevo Celilac,8240,-88.3665360365764,14.9590697589644
16,15,Santa Barbara,Petoa,13302,-88.2280553282003,15.254438288149
16,16,Santa Barbara,Proteccion,18510,-88.6112826072042,15.0606854736544
16,17,Santa Barbara,Quimistan,67697,-88.3590124755836,15.3986209544558
16,18,Santa Barbara,San Francisco de Ojuera,8660,-88.2184449557251,14.6870083970448
16,19,Santa Barbara,San Jose de Colinas,20161,-88.3212659619586,15.0489896932342
16,20,Santa Barbara,San Luis,25937,-88.4708788896991,15.0896913235028
16,21,Santa Barbara,San Marcos,16718,-88.4004781957023,15.2424694220979
16,22,Santa Barbara,San Nicolas,16991,-88.3613202141149,14.8993957537528
16,23,Santa Barbara,San Pedro Zacapa,11297,-88.0865565208774,14.7287862021948
16,24,Santa Barbara,San Vicente Centenario,3893,-88.2940855827605,14.8714579334174
16,1,Santa Barbara,Santa Barbara,50524,-88.1720093152854,14.9035765180496
16,25,Santa Barbara,Santa Rita,4154,-88.2636031632076,14.7390396502833
16,26,Santa Barbara,Trinidad,22103,-88.2568402094417,15.1372724468295
17,2,Valle,Alianza,7661,-87.710208536391,13.4439968262267
17,3,Valle,Amapala,15361,-87.6191329509532,13.3234700885078
17,4,Valle,Aramecina,7977,-87.6943484936432,13.7244548063376
17,5,Valle,Caridad,4127,-87.6909057156118,13.8099268483145
17,6,Valle,Goascoran,14894,-87.7161154053751,13.5872504229645
17,7,Valle,Langue,22047,-87.6334116391046,13.658340316953
17,1,Valle,Nacaome,64652,-87.5282496761034,13.5183432378113
17,8,Valle,San Francisco de Coray,10335,-87.5507599045123,13.6725878273876
17,9,Valle,San Lorenzo,51601,-87.4193762593365,13.4374006850847
18,2,Yoro,Arenal,6095,-86.8508079609586,15.3496464490912
18,3,Yoro,El Negrito,50968,-87.7092008828999,15.4080252398871
18,4,Yoro,El Progreso,205823,-87.8060957552311,15.4237110915922
18,5,Yoro,Jocon,9750,-86.9867080122741,15.2899465780527
18,6,Yoro,Morazan,52151,-87.5774240736194,15.3315491410611
18,7,Yoro,Olanchito,126249,-86.6750149686977,15.4518538406451
18,8,Yoro,Santa Rita,21640,-87.8181244972704,15.1821806976158
18,9,Yoro,Sulaco,21258,-87.3090174103486,14.9593285925362
18,10,Yoro,Victoria,39684,-87.583562904634,15.0746129370733
18,11,Yoro,Yorito,25011,-87.3340899044678,15.0571939246395
18,1,Yoro,Yoro,105102,-87.250428644944,15.2286798565288
